amount,address
18466127, terra10ykqjh4az8xxvdumls0qtmtuazn5vs6ejqyyv7
5000000, terra10ymndxxf8pgfe6ngaaqyura8zse962rd069g3y
0, terra10yv26w9u8z6var8qznufd5t4hn5ha9ck3jnxyg
0, terra10yxan7x3ug0cd8qaev849edm4ajy9zfe0pm3xa
65158894, terra10yxtmqx0edwzm4f5y69pstzhpxa47amp0em3s5
0, terra10z0kunadad5n2exwr4zxstahxm37g63sd5theq
0, terra10z6lm49ncwhrayt4jzsuk8p59eqn932uhaet3h
0, terra10z6wp2k4edmah6h82tlas3splwh0h2p7xedgkc
59176314, terra10zaw9x85w65q9czcql3mpms52et92daer77l7u
13731387, terra10zdhgllxgd4urfcc4rakprm2ncwywy453pj9u5
0, terra10zfr089hkjuj7a5nrydv6gwypmmsy32krz7f0a
0, terra10zjqdvghyqxw347rxcp6j6wxl2rs9dzf8gcxke
153267932, terra10znc42krxfl4rm6rr7dxs80wkaxnqea7esy44f
825182632, terra10zp79jvkthggqa2a7uuamd7k824r4haq3cn9wx
188364626, terra10zqnl8s79qv5yepfltwmcjj0puklqtvw329ztl
0, terra10zt8j3l2p9dy24kdn8ctlupz9c0l0gtwar7nuv
0, terra10zwqf55neauxzkhs7euxw5rz09cgmgcvnx7m7z
25862511, terra1209j4jjt6976wk5ad6wd6dvtl28ggm4y058l82
0, terra120a6q0rllluf7mfclptpdncsvkfaqntuna5h04
0, terra120akx7zuqn2uhy9naknct08cajkjr2e2ls5kng
0, terra120e8ws29tqvns885w7lmr0t6uklgc4d8kh3rlr
31786437, terra120el9cdja2vg8dqs8ch7ccj9n2dtjn8tfgks60
138316797, terra120j83my2m8h93g80a7jtpkc0tnsda3wc3vnlk0
1000046, terra120msd72pw258tgageyp2fzeh3d5xnqljfnhcuh
0, terra120ndvmup55vvcwvmsuxy4h4lv9dmgs9hklkudk
0, terra120svcr6vr50nn9j8y9twl06jsvc3rql6j5rq5h
121902196, terra120x6ezq9vgtp4nv2xh6r7tps3w24p4qdtk6uru
63553685, terra1229gnsum0p57rfepqfsrn9tw5t6at6k6ahevtf
0, terra122h8x76vy9pna6vnqeq6vxka06dn8q0cl7yph6
201827400, terra122les0es7nexaqemnkcfhu3sjvschd7l5yfq7s
148084816, terra122mn0p5kw55nfqwdaudpu52m4dt4ahz839vlfj
949306671, terra122mr2q92860v3tqdamrsgfz7r6w4azuwtg9rfp
