TxHash,Block Height,User Address,MARS Claimed,MARS Claimable
89A0945AECD998DF498E35D924E3ABAAAA068774596957C9AADDC8AF30003B59,7785263,terra17c08gy0395h0kuz26al4jwc8dvr4347f4uvsws,0,33505163
D6813AEBA0CC13FDB4C4CE02A7C180B63BA961C8BAAB2F886A14EC52A15345E9,7785203,terra1a5dzccz3chg9v4dzxlknhutkjtvxfweu8qgvkt,0,18514148
DAB01479951B3BC40A23ADA31459BFDEEDA3FF5E6E8D61727D06F95F92D5F2B2,7785139,terra1ntel9a3zvyfcxrgrhec7sg3gza6qtwglphd0u3,8017815316,0
CF334465201B5A0A39FC4BCA3C066FF37A60A484F2AE5286CFA0ADCC9868AB64,7785045,terra1a87v6dx8slfl3z0yw362jcttrchfh9zpa3gx7t,0,929334538
F7E3B71E65FBD24345194042C92584055B3F0321F679B59A3F39627C408C854B,7784975,terra1pey70z2f5gum0uq2p85vv9y5gpam6q23c5pcqk,58788318,0
35D2D3671D7B413255DFCB6E758EEBA2F7EFD13CBC11B25E519EE72907287A92,7784908,terra1h6zamzrs0t5ng2mjyzhf09y4wdhnmuwuj8v6zm,5011120162,0
79E61CBB166868361BB2E2E92A3D86C6AE496F59EA8D4081CFB4D0E1059ACE63,7784661,terra1wasczfhl5y36tnq498276rhkwkj80xn8du97dg,11154647433,0
4D89F57361949EEB233139FAC68507E8CE8AFCB5153904DCC2962A793BB5CCB6,7784658,terra1plnrakmdrp7gwd34487dsxh5kfjaqslezl986e,0,182439637
8429F1320664E160644849319F73DF48D5B0A1C83EFBB4B8C8EBEBD776C75DD1,7784653,terra1lrt62qxatjthkxafk55smj7dmdwumvn5r32hjn,0,150830812
D907F9B3C031B077B59CA67C38EC338795E0448725B8CECE3985D2307A60331F,7784581,terra1m6h9qnydwq4ns39795k4wwjxukapf3lwj7f7zz,0,18494410
E05ED783D4152EF2305E9B06E2F2D5AA0A64B18AE8FCAFD86CD1FA4DFA07EBA3,7784559,terra16qr5h8gmj37jp337y8jeg6rv4vuqakp23mh4vc,0,52214683
