amount,address
0, terra10apwqvyayqu597jvuxdlsgd6j8st2gpp95jdxv
6914, terra10aq62n0sv5d80gzz6prnwjfu6q4m5u4yenu3nh
0, terra10ascruk04ggjdja7l27sla0egupg0rqa6l39s2
5833196, terra10atp8mq7068ep6cj46jxajaxq3wh43ygjevxa3
60890788, terra10auary2ess0zpjt4uq0wt6zrdq7c89w2y5at5r
18473222, terra10auk5yc7fygueq3nr7jfnugwyngt0m9mrwp08e
0, terra10avwm05q6vx46w7w34qytsafesy9wypn5m422m
0, terra10ayl5fvsnd3kcyehe2w5p4nusk62cycfe6n5ee
48034339, terra10azqrqy4k6g2fackf2ssnvd8rq5rhwz7y77aap
0, terra10c34nw7deydyjstxvr6tyhylghw8uvx88rap5z
0, terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a
0, terra10c3pffu6vyqcex9ce4sqvwvcyg7xk7xce98rml
0, terra10c4fkrm0j5jg69u3w0quy32vpwv7vg6ssvyuln
0, terra10c77qqju5l9udv599pjwuhg4t5ym6hhu0m3new
6962, terra10c8sujrklgejzfp7rvg2ap9lw8t80tupfpauq2
12149581, terra10c96qgyvx0lfjz279my37m98j53nfnhucw49m9
89759719, terra10calrnk3khse3avlxc0uucjefsa4g60em7eqkd
16121369, terra10cav4s87clvwact3vey36ywm0uea9zyvutygan
0, terra10cchne078npsa0hced664laun05sjsy9fp54z4
0, terra10ccnc2qul7l58a9gcf58alc5jzqy8ck9gn9k7p
0, terra10ce3664e52thvut6ytd0ctma59v0t9yfjtwyfz
0, terra10ceg3e85hawasz4s8xg9z6lefs4q3ec6n2nn6s
0, terra10cejecurfh49q3wpxl8ar3g2wv4t0cz4c6qd6a
4359680, terra10ceucazcvm4aka33sv0jlvu93u54sgs5e8pl9r
0, terra10chkvgne9lw4hn04c4cjj5qg6ryf5ajuvwhsuh
277679792, terra10cjyj3va06e4nthqgcfjtfghlqmw4mnvavm0lg
0, terra10ck6kcrdq5agjg8mpr0qdf4ca5qd64nw5x0svs
43323445, terra10cldncy0mepr49ftvc7r4n52an2unjtg6pqaza
0, terra10clzxga2qhkykpmf8ljqvqv442hcgap5wvucxg
0, terra10cm9wvrnqp47wm7aws7qc6mkxm8x0vymkvsxx0
53148940, terra10cmce3xjz98yx9830tluy3menzw8apjxw6y507
0, terra10cmqkth9y0yw9etp5pp2gwznyg4je9j2kgga0d
22731901, terra10cn0hy707a76vdu4fqydnxrmlf2jsypsq0klfg
773897627, terra10cndu29zcerxdzfs6ry9lh3ez6me7frs72gmm0
18473222, terra10cnhzp4s60lgdrza4gu3n347x0ca5lfr57j6sg
72289544, terra10cqvetq9w8pnxq5r5tnlfmjw3d2ls0k989xv5q
0, terra10cs4vcuf5h5ty7zq7zgulzh6l0l8nqy9nkezua
0, terra10cswmc457hqsq55edlyjjtfv4e0y6e0thcf4g6
0, terra10cw5z5j8mnd3p8c8v3uu2geaxh4r8ku08wm7a6
9862557, terra10cxhuj9efaw0s0fea3yfdjdrqy44cnn2jca0ak
18473222, terra10cy09d6jh8n5vwp4w3w9ew3t3s4q20787uaw0v
3560810523, terra10czjg8ynwjshxsn64eh80hfq2kf3txtna6ndt8
0, terra10d307yjwmem4v0e5xvvmx7wqskkz8hp6welq27
0, terra10d3ggfrktv62n79y4gdhayvy5lws8x8z6jf43c
0, terra10d4g36fz834dy64zh8c0pl9z8edvzkhccj002q
0, terra10d4y9y67u535fgfwwrqevu4cfmw2lafy838p0v
0, terra10d53c8kjll5xuvucr3hwjhwx9g54y6xskel6m2
27709833, terra10d5dk54vxqk7698unwmp5dsukeu07hyjlat9my
694236138, terra10d64rrfr7rj7f3punrhcm8svf3fnsc9sqc9fac
7140, terra10d8vpvuhdqx9wcwgysyg2k35v03xta7hc5k4zp
