User Address,MARS in Cooldown
terra16as7w3r6792djckdstjn3r3yj4uz0raww2y205,21625718162
terra16cvvggcauc56gx3wyweclff58g6fmvng0yngvz,18514196
terra16dddjrhxukvjr3nqn0yu3nq4sayrppgpkdxyd2,726504375
terra16e365h0x6nune8n5yg4hpgvwhuymw3ywgvdsct,60373401
terra16edx0nhx4tduymjheh77nfdpc3f3af0dvem0u3,5011134
terra16ehfde2d45s6m22fpu8eeepyhcavg6h5j37qs6,11120636
terra16gg5vk7apg2w0nyrsa4k7mvsfepk7wtla6nhuq,33854168
terra16gmld8dtpskj8njzj9n3p0dqvvv6rxqqu6fjk6,53414818
terra16jttwc2lzh2l2tsyj0h2w6ryskq4vy50ehxc0c,18017596
terra16kt44nwsu6789fwevfrcw09jj706p5ykftk4wy,42414747
terra16kykc5mxchns5ugx9snm9cnjgwpvtcrpkphvzg,187535310
terra16lzjnn3dm20yycs38ldharh2ldp5aq8mz5v6hw,20021960
terra16mpeenpr3ffyevtxt2x0a3x0kzs2843lpe60pv,150334055
terra16np77kc22pppenxwejgts9yy2w8khv8kgnq09f,384996619
terra16pketfghlzcez8yue4eue6yrq6535u2yc9dmrd,418036517
terra16qddd8dnpjpxjtwk0ulpkax2vrea2f8q2twx8w,922132531
terra16qdpm9w3jk9ewnza9cxj48mgzye04jsu06mjc9,155132536
terra16ql2tygdk4yec2shamf9qvd657fmnnqmndung7,640550266
terra16qr5h8gmj37jp337y8jeg6rv4vuqakp23mh4vc,52214683
terra16rdekurc570cpg0w02pcfzg9k5n8c0g82cj50s,18497951
terra16s6dvvqdyd7zf3lptxfee4awty38j4z448uu2n,69885000
terra16sh5tmtl877hlylnjdjvym2q74rhq7e7a5nldz,65624914
terra16tjk2wt6nkja0wgzlquq8v93k03wkx5l2r6nh0,66618678
terra16ud8ck0urs983mc53nuv8td3c4s6w030dap8n9,102294182
terra16vmqv8jyux606ulgq2h8t2vyd0k8aqh5cgeple,957275473
terra16vy7ndvv4mjzrnc5wcxynta72hc3waz4044rdc,195127190
terra16vyq50e37gchexe4z6penrr9rkdzwny5j33wmg,114518824
terra16yc4lvm8hye28pad2gqsrwwzacrfls5geah0e3,86965702
terra16yd27xp7nm4r6gpfcgvejtwlnv2unzn064mzyl,1649995
terra1730v39pg7k0v9t5nclwcf9gf0q3sm0cugrfjk2,357619573
terra173j380ur09esaj87sm792y0844wueplap4un7f,23600887
terra1747samhujmj8nnu8tsdx33nzevcc6cm2shktfk,85881807
terra174cx580yskmusrzztqhs558wgjxg9vjjggemcu,638009493
terra174echl95gxagu523ey6yupqz6kllahmlr374zu,3698283873
terra174gmwpf579l28qad0ztrk96heyjfvfs50swahz,73191091
terra1757lqxzrp7nru9nvmun7f6cjqk9huljgfrfnxx,100231043
terra175qdpq6ymj0xx68zst27cu3yhwkan9fvggc9ka,1311086785
terra175v29s7e05jlkh36mrt3zp34mhr53c2wwzm0m9,419719238
terra1760dqx9kft6ggc4hmejqu0v9fm2quhe3tch9qw,1501247816
terra176aray05ds5tg5w258gp338uc9vew4k3635g83,116488794
terra176j7je9aplyllrp8d6dwd0urg7zegdw5ewj3pc,177178473
terra177td6uc62ywrn6emhh0egzxwueuyv885p54uh8,25028095
terra177yttkcxwlppgjye0cx5np8vx77j23sav8766y,18476743
terra178n8ekhsswaxvprm73xrxfckj5pqtcr36zf3wg,1500293728
terra178pq4rg5kkaegqunklp0qhvx5c47j5lck5suje,129110155
terra178t82s5tqehng70esfck80vcvjjuy9knth07ql,22329803
terra179ed3x4unyrteksza7d8k92p3t9y5kkc0wtucy,69805003
terra17a4s2aeqfwcfwjlesk6t7w7dfeua408ftshk7r,94209078
terra17a5e84rje92aenzr6zsrl7r6scug535efpv4k7,26995506
terra17akqdla2ncvxeelj2rz57azuj2rhfkwmx2clxd,357945483
terra17atv34nxhqezwkx2d0u2mgvd2ugts2th3a2ugx,3064759557
terra17c08gy0395h0kuz26al4jwc8dvr4347f4uvsws,33505163
terra17c7pzf8759544fnzn3xxr84es6xlzzxsquyhah,18497569
terra17c8w2zsvzcgup4s7uaq4h8zz9a9ddkvwakxvqd,48701761
terra17cdqgy28ww254rxv4v9dmx8y26xm2jjkd9ejft,17450665
terra17cyfd67kzxf5q653wmwajgumnkctfde8qua5z6,243513731
terra17ek962fm2ftwq66du09y6sgfktrxm2zyy8cqz4,42502111
terra17enuget9n2l6su0rnk6p75j7mlcrt2sfktktp5,59663106
terra17eqfzpj3mrqrz29a3c2yueyz2gmvg68stcqgua,2434773944
terra17f34xpp0nsj70p0j3gjs5q74lggz352nq5eeej,597696201
terra17geeugvyzkdulpshke6lf789pklgzuj6z402ku,1000798035
terra17gl7lryw7ckdkt5pdhk3ytjj4jdyaw59zen00h,3697341145
terra17j5nwmday5c83l2u6tqmt44wrenp8ufe5cmgch,97090010
terra17j8aenanek9rar8rthvkmxw9u842gpsjnqe07w,2004453
terra17jhfjlthh9wfelu5nx5ppkc5jufh5vnyjzvtdv,6768527
terra17judh405t7krfng6ra29aug2rvdlx52v2s9yf0,4801486
terra17ktkeev4hrfrcaydsakyxlqje7cg0vx4hs6gwj,94340601
terra17lapk5p993ugazmv2uuc2wdrn3qveqlh7hklpj,693115590
terra17lcyz5qe8rpusyamhxs48qu0cklf6dg0ys4xaf,1012628432
terra17mwnd2tuhmh6cckqm4ux7rszws4s7z02mpx8lq,9681794
terra17n9ck9r2n5vt7q9x8p9u9ql73qvq372767cvyv,273160310
terra17npp9fq9uzanv05rytgj86muaet59rpth55aln,1049782820
terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu,819937576
terra17pj02fsvj0x96x4zq7jm2xpm7npfwzn9ynqyhw,32465110
terra17qad9cuwf5yh0u0yd72c7pkhx74t0r5e0lk2at,292837875
terra17r257evk5y8tr8zzznvngpz2tamk36qhv0l40g,18514338
terra17sg6e7g5tlfz5gr66ha0dwa3mltg4wm07zk5wg,672221123
terra17sm0g2gadzsk9yal2m233qnjugzamzv6w9ayqh,16420608
terra17t6kzm4gkh4f766fysmsgy032y8f564n4lwzcf,1268976100
terra17t9xppr06emr4cfz863xw48eat0phvsdyymcqw,164787276
terra17tnshnlaspxg2squju3erxe8w62ufr4s0g46x3,690249126
terra17ush5jahu8xd5fw96v033zsng67fl384np77px,1518166418
terra17usmdnnpekn5yrpzxe3a4sp4fda8vs2dckenak,21497209
terra17uz0lmzvp7grkn6dumsdkrhhpnlru9f3sz3cm0,4025209
terra17vlrqrlre3x4x60fjq3f93wsg4kyxr9s5xyvnp,6415079561
terra17vw4q8pr8k22yuc9q7m8fmxud8s8dpkvncfpg8,2142732569
terra17wsrhkumv5cl6utemxsdra692jy267ne6e09sc,2196719076
terra17wt593ey5ajyr2g29h8uu52xrzupxs6s6aauq3,275612443
terra17x68v5a4lwdmlc0ss70jatf5l7nr6yvt5h6vfj,138672968
terra17ydkwpzu99qrc2n8xzq67ftdemv6axtu3l6753,317541518
terra17zwfvqcln3g2k2dldyq8glez0xndlwk6ympe05,930603996
terra17zy8p7dnrcuad0f2chmrnfqxwce7duu2t7l3ae,174452856
